CommonName,Family,Genus,Cultivar,Description,GrowingAdvice,WeatherTolerance,OptimalZones,GrowingDays,TransplantAge,USDAZoneList,BestHarvest,BestPlantingDates,GreenhouseInstructions,SoilInfo,Pests,Amendments,SoilConditions,Approved CommonName
Little Marvel (Pea),Fabaceae,Pisum,Little Marvel,Cool‑season shell/snap pea.,Sow as soon as soil can be worked; trellis tall types.,"Cool,Cold,Wet","2,3,4,5,6,7,8",28-56,,"[2, 3, 4, 5, 6, 7, 8]","{""2"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], ""3"": [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""4"": [17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], ""5"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""6"": [14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""7"": [12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""8"": [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Direct sow preferred; transplant only in cells.,"Loam; pH 6.0–7.0; cool, moist conditions.","Aphids, powdery mildew.",Inoculate with rhizobia; compost.,Retain water,
Sugar Snap (Pea),Fabaceae,Pisum,Sugar Snap,Cool‑season shell/snap pea.,Sow as soon as soil can be worked; trellis tall types.,"Cool,Cold,Wet","2,3,4,5,6,7,8",28-56,,"[2, 3, 4, 5, 6, 7, 8]","{""2"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], ""3"": [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""4"": [17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], ""5"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""6"": [14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""7"": [12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""8"": [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Direct sow preferred; transplant only in cells.,"Loam; pH 6.0–7.0; cool, moist conditions.","Aphids, powdery mildew.",Inoculate with rhizobia; compost.,Retain water,
Wando (Pea),Fabaceae,Pisum,Wando,Cool‑season shell/snap pea.,Sow as soon as soil can be worked; trellis tall types.,"Cool,Cold,Wet","2,3,4,5,6,7,8",28-56,,"[2, 3, 4, 5, 6, 7, 8]","{""2"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], ""3"": [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], ""4"": [17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], ""5"": [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""6"": [14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""7"": [12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""8"": [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Direct sow preferred; transplant only in cells.,"Loam; pH 6.0–7.0; cool, moist conditions.","Aphids, powdery mildew.",Inoculate with rhizobia; compost.,Retain water,
Katahdin (Potato/Tomato/Eggplant),Solanaceae,Solanum,Katahdin,Tuber crop from seed pieces.,Plant 2–4 weeks before last frost; hill as plants grow.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Not applicable; direct plant seed potatoes.,"Loose, well‑drained loam; pH 5.2–6.8; avoid waterlogging.","Colorado potato beetle, scab (pH high).",Compost; sulfur to reduce scab risk.,Drain Water,
Kennebec (Potato/Tomato/Eggplant),Solanaceae,Solanum,Kennebec,Tuber crop from seed pieces.,Plant 2–4 weeks before last frost; hill as plants grow.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Not applicable; direct plant seed potatoes.,"Loose, well‑drained loam; pH 5.2–6.8; avoid waterlogging.","Colorado potato beetle, scab (pH high).",Compost; sulfur to reduce scab risk.,Drain Water,
Red Pontiac (Potato/Tomato/Eggplant),Solanaceae,Solanum,Red Pontiac,Tuber crop from seed pieces.,Plant 2–4 weeks before last frost; hill as plants grow.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Not applicable; direct plant seed potatoes.,"Loose, well‑drained loam; pH 5.2–6.8; avoid waterlogging.","Colorado potato beetle, scab (pH high).",Compost; sulfur to reduce scab risk.,Drain Water,
Russet Burbank (Potato/Tomato/Eggplant),Solanaceae,Solanum,Russet Burbank,Tuber crop from seed pieces.,Plant 2–4 weeks before last frost; hill as plants grow.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Not applicable; direct plant seed potatoes.,"Loose, well‑drained loam; pH 5.2–6.8; avoid waterlogging.","Colorado potato beetle, scab (pH high).",Compost; sulfur to reduce scab risk.,Drain Water,
Yukon Gold (Potato/Tomato/Eggplant),Solanaceae,Solanum,Yukon Gold,Tuber crop from seed pieces.,Plant 2–4 weeks before last frost; hill as plants grow.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Not applicable; direct plant seed potatoes.,"Loose, well‑drained loam; pH 5.2–6.8; avoid waterlogging.","Colorado potato beetle, scab (pH high).",Compost; sulfur to reduce scab risk.,Drain Water,
Big Max (Squash/Pumpkin),Cucurbitaceae,Cucurbita,Big Max,Large fruited cucurbit for carving/processing.,Direct sow or transplant after last frost; needs heat and space.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,Start 2–3 wks or direct sow,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start 2–3 weeks; transplant carefully to avoid root disturbance.,Fertile loam; pH 6.0–7.0; steady moisture.,"SVB, cucumber beetle, PM.",Compost; side‑dress N.,Retain water,
Connecticut Field (Squash/Pumpkin),Cucurbitaceae,Cucurbita,Connecticut Field,Large fruited cucurbit for carving/processing.,Direct sow or transplant after last frost; needs heat and space.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,Start 2–3 wks or direct sow,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start 2–3 weeks; transplant carefully to avoid root disturbance.,Fertile loam; pH 6.0–7.0; steady moisture.,"SVB, cucumber beetle, PM.",Compost; side‑dress N.,Retain water,
Jack O'Lantern (Squash/Pumpkin),Cucurbitaceae,Cucurbita,Jack O'Lantern,Large fruited cucurbit for carving/processing.,Direct sow or transplant after last frost; needs heat and space.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,Start 2–3 wks or direct sow,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start 2–3 weeks; transplant carefully to avoid root disturbance.,Fertile loam; pH 6.0–7.0; steady moisture.,"SVB, cucumber beetle, PM.",Compost; side‑dress N.,Retain water,
Small Sugar (Squash/Pumpkin),Cucurbitaceae,Cucurbita,Small Sugar,Large fruited cucurbit for carving/processing.,Direct sow or transplant after last frost; needs heat and space.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,Start 2–3 wks or direct sow,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start 2–3 weeks; transplant carefully to avoid root disturbance.,Fertile loam; pH 6.0–7.0; steady moisture.,"SVB, cucumber beetle, PM.",Compost; side‑dress N.,Retain water,
American Purple Top (Cabbage/Turnip/Collard),Brassicaceae,Brassica,American Purple Top,Bulbing brassica; best as fall crop.,Sow mid‑summer for fall; keep evenly moist.,"Cool,Cold,Wet","2,3,4,5,6,7,8",84-112,Transplant 3–4 wks if needed,"[2, 3, 4, 5, 6, 7, 8]","{""2"": [1, 2, 3, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 46, 47, 48, 49, 50, 51, 52], ""3"": [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""4"": [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""5"": [1, 2, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 51, 52], ""6"": [1, 2, 3, 4, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Transplant at 3–4 weeks if needed.,Loam; pH 6.2–7.2.,"Flea beetles, root maggots (regional).",Compost; boron if deficient.,Retain water,
French Red (Onion/Leek/Shallot/Garlic),Amaryllidaceae,Allium,French Red,Cluster‑forming allium grown from sets.,Plant sets early spring or fall in mild zones.,"Cool,Cold,Wet","3,4,5,6,7,8",56-84,Start 10–12 wks or plant sets,"[3, 4, 5, 6, 7, 8]","{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}",Start from seed 10–12 weeks early if needed.,Loam; pH 6.2–7.2.,Thrips.,Compost; steady feed.,Retain water,
Black-Eyed Pea (Cowpea/Mung bean),Fabaceae,Vigna,Black-Eyed Pea,Cowpea for shells/snaps; heat tolerant.,Direct sow into warm soils; drought tolerant once established.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Direct sow preferred.,Light loam; pH 5.8–7.0.,"Aphids, cowpea curculio (Southeast).",Inoculate; compost.,Dry,
Crowder (Cowpea/Mung bean),Fabaceae,Vigna,Crowder,Cowpea for shells/snaps; heat tolerant.,Direct sow into warm soils; drought tolerant once established.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Direct sow preferred.,Light loam; pH 5.8–7.0.,"Aphids, cowpea curculio (Southeast).",Inoculate; compost.,Dry,
Pink Eye Purple Hull (Cowpea/Mung bean),Fabaceae,Vigna,Pink Eye Purple Hull,Cowpea for shells/snaps; heat tolerant.,Direct sow into warm soils; drought tolerant once established.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Direct sow preferred.,Light loam; pH 5.8–7.0.,"Aphids, cowpea curculio (Southeast).",Inoculate; compost.,Dry,
Envy (Soybean),Fabaceae,Glycine,Envy,Edamame/soy for fresh seeds.,Sow after soil 60–65°F; harvest at green stage for edamame.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Direct sow; close spacing for edamame.,Loam; pH 6.2–7.0.,"Bean beetles, aphids.",Inoculate; compost.,Drain Water,
Prize (Soybean),Fabaceae,Glycine,Prize,Edamame/soy for fresh seeds.,Sow after soil 60–65°F; harvest at green stage for edamame.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Direct sow; close spacing for edamame.,Loam; pH 6.2–7.0.,"Bean beetles, aphids.",Inoculate; compost.,Drain Water,
