"Symbol","Scientific Name with Author","GSAT Common Name"
"ARCAB3","Artemisia cana Pursh ssp. bolanderi (A. Gray) G.H. Ward","Bolander's silver sagebrush"
"ARCAV2","Artemisia cana Pursh ssp. viscidula (Osterh.) Beetle","mountain silver sagebrush"
"ARCEU","Arceuthobium M. Bieb.","dwarf mistletoe"
"ARCH3","Arnica chamissonis Less.","Chamisso arnica"
"ARCHA2","Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. andina (Nutt.) Ediger & T.M. Barkley","Chamisso arnica"
"ARCHF","Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire","Chamisso arnica"
"ARCHI4","Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. incana (A. Gray) Hultén","hoary arnica"
"ARCL2","Argythamnia claryana Jeps.","glandular silverbush"
"ARCO","Arabis cobrensis M.E. Jones","gray rockcress"
"ARCO5","Arenaria congesta Nutt.","baldhead sandwort"
"ARCO6","Argemone corymbosa Greene","Mojave pricklypoppy"
"ARCO9","Arnica cordifolia Hook.","heartleaf arnica"
"ARCOC2","Arenaria congesta Nutt. var. charlestonensis Maguire","Charleston sandwort"
"ARCOC4","Arenaria congesta Nutt. var. congesta","ballhead sandwort"
"ARCOC6","Argemone corymbosa Greene ssp. corymbosa","Mojave pricklypoppy"
"ARCOS","Arenaria congesta Nutt. var. simulans Maguire","ballhead sandwort"
"ARCOS2","Arenaria congesta Nutt. var. subcongesta (S. Watson) S. Watson","subcongesta sandwort"
"ARCOW","Arenaria congesta Nutt. var. wheelerensis Maguire","Wheeler's sandwort"
"ARCTI","Arctium L.","burdock"
"ARCTO","Arctomecon Torr. & Frém.","bearpoppy"
"ARCTO3","Arctostaphylos Adans.","manzanita"
"ARCU","Arabis cusickii S. Watson","Cusick's rockcress"
"ARCY","Argythamnia cyanophylla (Wooton & Standl.) J.W. Ingram","Charleston Mtn silverbush"
"ARCY2","Arceuthobium cyanocarpum (A. Nelson ex Rydb.) A. Nelson","limber pine dwarf mistletoe"
"ARDA","Arabis davidsonii Greene","Davidson's rockcress"
"ARDE","Arabis demissa Greene","nodding rockcress"
"ARDEL","Arabis demissa Greene var. languida Rollins","nodding rockcress"
"ARDI","Arabis dispar M.E. Jones","pinyon rockcress"
"ARDI2","Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]","spreading rockcress"
"ARDI3","Arceuthobium divaricatum Engelm.","pinyon dwarf mistletoe"
"ARDI5","Aristida divaricata Humb. & Bonpl. ex Willd.","POVERTY THREEAWN"
"ARDI6","Arnica discoidea Benth.","rayless arnica"
"ARDI7","Arnica ×diversifolia Greene (pro sp.) [amplexicaulis or mollis × cordifolia or latifolia]","sticky arnica"
"ARDO","Arceuthobium douglasii Engelm.","Doulas fir dwarf mistletoe"
"ARDO3","Artemisia douglasiana Besser","Douglas' mugwort"
"ARDO4","Arundo donax L.","giant reed"
"ARDR","Arabis drummondii A. Gray","Drummond's rockcress"
"ARDR4","Artemisia dracunculus L.","GREEN SAGEWORT"
"AREL3","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","TALL OATGRASS"
"ARELE","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. elatius","TALL OATGRASS"
"ARENA","Arenaria L.","sandwort"
"ARFA2","Arabis falcatoria Rollins","Grouse Creek rockcress"
"ARFA3","Arabis falcifructa Rollins","Elko rockcress"
"ARFE","Arabis fendleri (S. Watson) Greene","Fendler's rockcress"
"ARFE2","Arabis fernaldiana Rollins","Fernald's rockcress"
"ARFE3","Arenaria fendleri A. Gray","Fendler's sandwort"
"ARFEF","Arabis fendleri (S. Watson) Greene var. fendleri","Fendler's rockcress"
"ARFEF2","Arabis fernaldiana Rollins var. fernaldiana","park rockcress"
"ARFES2","Arabis fernaldiana Rollins var. stylosa (S. Watson) Rollins","park rockcress"
"ARFI2","Artemisia filifolia Torr.","SAND SAGEBRUSH"
"ARFR","Arenaria franklinii Douglas ex Hook.","Franklin's sandwort"
"ARFR4","Artemisia frigida Willd.","fringed sagebrush"
"ARFRF2","Arenaria franklinii Douglas ex Hook. var. franklinii","Franklin's sandwort"
"ARFU3","Arnica fulgens Pursh","foothill arnica"
"ARGEM","Argemone L.","pricklypoppy"
"ARGEN","Argentina Hill","silverweed"
"ARGL","Arabis glabra (L.) Bernh.","tower rockcress"
"ARGL2","Arabis glaucovalvula M.E. Jones","bluepod rockcress"
"ARGR4","Arabis gracilipes Greene","Flagstaff rockcress"
"ARGYR5","Argyrochosma (Sm.) Windham","false cloak fern"
"ARGYT","Argythamnia P. Br.","silverbush"
"ARHI","Arabis hirsuta (L.) Scop.","HAIRY ROCKCRESS"
"ARHIG","Arabis hirsuta (L.) Scop. var. glabrata Torr. & A. Gray","mountain rockcress"
"ARHIP","Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins","creamflower rockcress"
"ARHO2","Arabis holboellii Hornem.","Holboell's rockcress"
"ARHO4","Arenaria hookeri Nutt.","Hooker's sandwort"
"ARHOC","Arabis holboellii Hornem. var. collinsii (Fernald) Rollins","glandular silverbush"
"ARHOH3","Arenaria hookeri Nutt. ssp. hookeri","Hooker's sandwort"
"ARHOP2","Arabis holboellii Hornem. var. pendulocarpa (A. Nelson) Rollins","dropseed rockcress"
"ARHOP3","Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins","Holboell's rockcress"
"ARHOR","Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.","second rockcress"
"ARHU3","Arctomecon humilis Coville","common bearpoppy"
"ARIN","Arabis inyoensis Rollins","Inyo rockcress"
"ARIST","Aristida L.","threeawn"
"ARJO2","Argyrochosma jonesii (Maxon) Windham","Jone's lipfern"
"ARJO2","Argyrochosma jonesii (Maxon) Windham","Jone's cloakfern"
"ARKI","Arenaria kingii (S. Watson) M.E. Jones","King's sandwort"
"ARKIK","Arenaria kingii (S. Watson) M.E. Jones ssp. kingii","King's sandwort"
"ARKIR","Arenaria kingii (S. Watson) M.E. Jones ssp. rosea Maguire","King's rosy sandwort"
"ARLA12","Argythamnia lanceolata (Benth.) Müll. Arg.","narrowleaf silverbush"
"ARLA3","Arctium lappa L.","great burdock"
"ARLA8","Arnica latifolia Bong.","broadleaf arnica"
"ARLE","Arabis lemmonii S. Watson","Lemmon's rockcress"
"ARLED","Arabis lemmonii S. Watson var. depauperata (A. Nelson & Kennedy) Rollins","soldier rockcress"
"ARLED2","Arabis lemmonii S. Watson var. drepanoloba (Greene) Rollins","soldier rockcress"
"ARLEL","Arabis lemmonii S. Watson var. lemmonii","Lemmon's rockcress"
"ARLI","Arabis lignifera A. Nelson","desert rockcress"
"ARLO6","Arnica longifolia D.C. Eaton","longleaf arnica"
"ARLU","Artemisia ludoviciana Nutt.","LOUISIANA SAGEWORT"
"ARLUA","Artemisia ludoviciana Nutt. ssp. albula (Wooton) D.D. Keck","white sagewort"
"ARLUC8","Artemisia ludoviciana Nutt. ssp. candicans (Rydb.) D.D. Keck","gray sagewort"
"ARLUI2","Artemisia ludoviciana Nutt. ssp. incompta (Nutt.) D.D. Keck","mountain sagewort"
"ARLUL2","Artemisia ludoviciana Nutt. ssp. ludoviciana","foothill sagewort"
"ARLUM2","Artemisia ludoviciana Nutt. ssp. mexicana (Willd. ex Spreng.) D.D. Keck","Mexican white sagebrush"
"ARLY","Arabis lyallii S. Watson","Lyall's rockcress"
"ARLYL","Arabis lyallii S. Watson var. lyallii","Lyall's rockcress"
"ARLYN","Arabis lyallii S. Watson var. nubigena (J.F. Macbr. & Payson) Rollins","Lyall's rockcress"
"ARMA3","Arenaria macradenia S. Watson","shrubby sandwort"
"ARMAF","Arenaria macradenia S. Watson ssp. ferrisiae Abrams","Ferris' sandwort"
"ARMAM","Arenaria macradenia S. Watson ssp. macradenia","Mojave sandwort"
"ARMAM4","Arenaria macradenia S. Watson ssp. macradenia var. macradenia","Mojave sandwort"
"ARME2","Arctomecon merriamii Coville","white bearpoppy"
"ARMI","Arabis microphylla Nutt.","small leaf rockcress"
"ARMI2","Arctium minus Bernh.","SMALL BURDOCK"
"ARMI4","Artemisia michauxiana Besser","Michaux's sagewort"
"ARMIM2","Arabis microphylla Nutt. var. microphylla","smallleaf rockcress"
"ARMO4","Arnica mollis Hook.","wooly arnica"
"ARMOR","Armoracia G. Gaertn., B. Mey. & Scherb.","armoracia"
"ARMU","Argemone munita Durand & Hilg.","flatbud pricklypoppy"
"ARMUA","Argemone munita Durand & Hilg. ssp. argentea G.B. Ownbey","flatbud pricklypoppy"
"ARMUR","Argemone munita Durand & Hilg. ssp. rotundata (Rydb.) G.B. Ownbey","flatbud pricklypoppy"
"ARNE","Arctostaphylos nevadensis A. Gray","pinemat manzanita"
"ARNE2","Argythamnia neomexicana Müll. Arg.","common silverbush"
"ARNE3","Arnica nevadensis A. Gray","Nevada arnica"
"ARNIC","Arnica L.","Arnica"
"ARNO4","Artemisia nova A. Nelson","black sagebrush"
"ARNU","Arabis nuttallii B.L. Rob.","Nuttall's rockcress"
"AROP","Arabis ophira Rollins","Ophir rockcress"
"ARPA13","Arnica parryi A. Gray","nodding arnica"
"ARPA16","Artemisia papposa S.F. Blake & Cronquist","Owyhee sagebrush"
"ARPA20","Artemisia packardiae J. Grimes & Ertter","Succor Creek sagebrush"
"ARPA6","Arctostaphylos patula Greene","greenleaf manzanita"
"ARPAS2","Arnica parryi A. Gray ssp. sonnei (Greene) Maguire","Sonne's arnica"
"ARPE","Arabis pendulina Greene","nodding rockcress"
"ARPE2","Arabis perennans S. Watson","perennial rockcress"
"ARPEP","Arabis pendulina Greene var. pendulina","rabbitear rockcress"
"ARPI2","Arabis pinzliae Rollins","Pinzl's rockcress"
"ARPL","Arabis platysperma A. Gray","pioneer rockcress"
"ARPLH2","Arabis platysperma A. Gray var. howellii (S. Watson) Jeps.","Howell's pioneer rockcress"
"ARPLP2","Arabis platysperma A. Gray var. platysperma","pioneer rockcress"
"ARPO2","Argemone polyanthemos (Fedde) G.B. Ownbey","crested pricklypoppy"
"ARPR","Arctostaphylos pringlei Parry","pinkbract manzanita"
"ARPRP","Arctostaphylos pringlei Parry ssp. pringlei","Pringle's manzanita"
"ARPU","Arabis puberula Nutt.","Blue Mountain rockcress"
"ARPU2","Arabis pulchra M.E. Jones ex S. Watson","beauty rockcress"
"ARPU5","Arctostaphylos pungens Kunth","pointleaf manzanita"
"ARPU6","Arenaria pumicola Coville & Leiberg","pumice sandwort"
"ARPU9","Aristida purpurea Nutt.","PURPLE THREEAWN"
"ARPUF","Aristida purpurea Nutt. var. fendleriana (Steud.) Vasey","Fendler's threeawn"
"ARPUG","Arabis pulchra M.E. Jones ex S. Watson var. gracilis M.E. Jones","desert rockcress"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","red threeawn"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","Fendler's threeawn"
"ARPUM","Arabis pulchra M.E. Jones ex S. Watson var. munciensis M.E. Jones","Munci rockcress"
"ARPUN","Aristida purpurea Nutt. var. nealleyi (Vasey) Allred","BLUE THREEAWN"
"ARPUP2","Arabis pulchra M.E. Jones ex S. Watson var. pulchra","desert rockcress"
"ARPUP5","Aristida purpurea Nutt. var. parishii (Hitchc.) Allred","Parish's threeawn"
"ARPUP6","Aristida purpurea Nutt. var. purpurea","PURPLE THREEAWN"
"ARPUW","Aristida purpurea Nutt. var. wrightii (Nash) Allred","Wright's threeawn"
"ARPY2","Artemisia pygmaea A. Gray","pygmy sagebrush"
"ARRE","Arabis rectissima Greene","bristlyleaf rockcress"
"ARRE2","Arabis repanda S. Watson","Repand's rockcress"
"ARRER","Arabis repanda S. Watson var. repanda","Yosemite rockcress"
"ARRES","Arabis rectissima Greene var. simulans Rollins","Washoe tall rockcress"
"ARRHE","Arrhenatherum P. Beauv.","oatgrass"
"ARRI","Arabis rigidissima Rollins","Trinity Mountain rockcress"
"ARRID","Arabis rigidissima Rollins var. demota","Galena Creek rockcress"
"ARRO4","Artemisia rothrockii A. Gray","Rothrock sagebrush"
"ARRU4","Armoracia rusticana G. Gaertn., B. Mey. & Scherb.","horseradish"
"ARRY","Arnica rydbergii Greene","subalpine arnica"
"ARSC","Artemisia scopulorum A. Gray","dwarf sagebrush"
"ARSC2","Arabis schistacea Rollins","divided rockcress"
"ARSE","Arabis selbyi Rydb.","Selby's rockcress"
"ARSE2","Arenaria serpyllifolia L.","THYMELEAF SANDWORT"
"ARSH","Arabis shockleyi Munz","Shockley's rockcress"
"ARSO2","Arnica sororia Greene","twin arnica"
"ARSP","Arabis sparsiflora Nutt.","sicklepod rockcress"
"ARSPS","Arabis sparsiflora Nutt. var. subvillosa (S. Watson) Rollins","hairystem rockcress"
"ARSPS2","Arabis sparsiflora Nutt. var. sparsiflora","sicklepod rockcress"
"ARSQ","Argemone squarrosa Greene","hedgehog pricklypoppy"
"ARST3","Arenaria stenomeres Eastw.","Meadow Valley sandwort"
"ARST6","Artemisia stelleriana Besser","dustymiller sagewort"
"ARSU2","Arabis suffrutescens S. Watson","woody rockcress"
"ARSUS","Arabis suffrutescens S. Watson var. suffrutescens","woody rockcress"
"ARTE3","Aristida ternipes Cav.","spidergrass"
"ARTEM","Artemisia L.","sagebrush"
"ARTI","Artemisia tilesii Ledeb.","Tilesius' wormwood"
"ARTI2","Arabis tiehmii Rollins","Tiehm's rockcress"
"ARTR2","Artemisia tridentata Nutt.","big sagebrush"
"ARTR4","Artemisia tripartita Rydb.","threetip sagebrush"
"ARTRS2","Artemisia tridentata Nutt. ssp. spiciformis (Osterh.) Kartesz & Gandhi","subalpine big sagebrush"
"ARTRT","Artemisia tridentata Nutt. ssp. tridentata","basin big sagebrush"
"ARTRT2","Artemisia tripartita Rydb. ssp. tripartita","Idaho threetip sagebrush"
"ARTRV","Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle","mountain big sagebrush"
"ARTRW8","Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young","Wyoming big sagebrush"
"ARUND4","Arundo L.","giant reed"
"ARUV","Arctostaphylos uva-ursi (L.) Spreng.","bearberry manzanita"
"ASAC3","Astragalus acutirostris S. Watson","sharpkeel milkvetch"
"ASAC5","Astragalus ackermanii Barneby","Ackerman's milkvetch"
"ASAE","Astragalus aequalis Clokey","Clokey's milkvetch"
"ASAG2","Astragalus agrestis Douglas ex G. Don","field milkvetch"
"ASAL7","Astragalus alpinus L.","alpine milkvetch"
"ASAL9","Astragalus alvordensis M.E. Jones","Alvord milkvetch"
"ASALA4","Astragalus alpinus L. var. alpinus","alpine milkvetch"
"ASAM5","Astragalus amphioxys A. Gray","Crescent milkvetch"
"ASAMA","Astragalus amphioxys A. Gray var. amphioxys","Crescent milkvetch"
"ASAMM","Astragalus amphioxys A. Gray var. modestus Barneby","Crescent milkvetch"
"ASAMM2","Astragalus amphioxys A. Gray var. musimonum (Barneby) Barneby","Sheep Range milkvetch"
"ASAMV","Astragalus amphioxys A. Gray var. vespertinus (Sheldon) M.E. Jones","Aladdin's slippers"
"ASAN2","Astragalus andersonii A. Gray","Anderson's milkvetch"
"ASAN7","Astragalus anserinus N.D. Atwood, Goodrich & S.L. Welsh","Goose Creek milkvetch"
"ASAR4","Astragalus argophyllus Nutt.","silverleaf milkvetch"
"ASARA","Astragalus argophyllus Nutt. var. argophyllus","silverleaf milkvetch"
"ASARM","Astragalus argophyllus Nutt. var. martinii M.E. Jones","silverleaf milkvetch"
"ASAS","Asclepias asperula (Decne.) Woodson","antelope horns"
"ASASA","Asclepias asperula (Decne.) Woodson ssp. asperula","spider milkweed"
"ASAT","Astragalus atratus S. Watson","mourning milkvetch"
"ASATA","Astragalus atratus S. Watson var. atratus","mourning milkvetch"
"ASATM","Astragalus atratus S. Watson var. mensanus M.E. Jones","mourning milkvetch"
"ASATO","Astragalus atratus S. Watson var. owyheensis (A. Nelson & J.F. Macbr.) M.E. Jones","Owyhee milkvetch"
"ASAU","Astragalus austiniae A. Gray ex W.H. Brewer & S. Watson","Austin's milkvetch"
"ASAU4","Astragalus australis (L.) Lam.","Indian milkvetch"
"ASBE3","Astragalus beckwithii Torr. & A. Gray","Beckwith's milkvetch"
"ASBE4","Astragalus bernardinus M.E. Jones","lesser threekeel milkvetch"
"ASBE5","Astragalus beatleyae Barneby","Beatley's milkvetch"
"ASBEB","Astragalus beckwithii Torr. & A. Gray var. beckwithii","Beckwith's milkvetch"
"ASBEP","Astragalus beckwithii Torr. & A. Gray var. purpureus M.E. Jones","Beckwith's milkvetch"
"ASBEW","Astragalus beckwithii Torr. & A. Gray var. weiserensis M.E. Jones","Weiser's milkvetch"
"ASBI2","Astragalus bisulcatus (Hook.) A. Gray","two groove milkvetch"
"ASBIN","Astragalus bisulcatus (Hook.) A. Gray var. nevadensis (M.E. Jones) Barneby","Nevada milkvetch"
"ASBO2","Astragalus bolanderi A. Gray","Bolander's milkvetch"
"ASCA11","Astragalus canadensis L.","CANADA MILKVETCH"
"ASCA14","Astragalus casei A. Gray ex W.H. Brewer & S. Watson","Case's milkvetch"
"ASCA8","Astragalus callithrix Barneby","Callaway's milkvetch"
"ASCA9","Astragalus calycosus Torr. ex S. Watson","matted  milkvetch"
"ASCAB","Astragalus canadensis L. var. brevidens (Gandog.) Barneby","shorttooth Canadian milkvetch"
"ASCAC5","Astragalus calycosus Torr. ex S. Watson var. calycosus","Torrey's milkvetch"
"ASCAM2","Astragalus calycosus Torr. ex S. Watson var. monophyllidius (Rydb.) Barneby","Torrey's milkvetch"
"ASCAS","Astragalus calycosus Torr. ex S. Watson var. scaposus (A. Gray) M.E. Jones","Torrey's milkvetch"
"ASCE","Astragalus ceramicus Sheldon","Painted milkvetch"
"ASCEC","Astragalus ceramicus Sheldon var. ceramicus","Painted milkvetch"
"ASCH5","Astragalus chamaemeniscus Barneby","ground-crescent milkvetch"
"ASCI2","Astragalus cibarius Sheldon","browse milkvetch"
"ASCI3","Astragalus cimae M.E. Jones","Cima milkvetch"
"ASCI4","Astragalus cicer L.","cicer milkvetch"
"ASCIC3","Astragalus cimae M.E. Jones var. cimae","Cima milkvetch"
"ASCLE","Asclepias L.","MILKWEED"
"ASCO","Asclepias cordifolia (Benth.) Jeps.","PURPLE MILKWEED"
"ASCO12","Astragalus convallarius Greene","timber milkvetch"
"ASCO6","Astragalus coccineus Brandegee","scarlet milkvetch"
"ASCOC9","Astragalus convallarius Greene var. convallarius","timber milkvetch"
"ASCOF","Astragalus convallarius Greene var. finitimus Barneby","timber milkvetch"
"ASCOM4","Astragalus convallarius Greene var. margaretiae Barneby","timber milkvetch"
"ASCR","Asclepias cryptoceras S. Watson","Humboldt milkweed"
"ASCRC2","Asclepias cryptoceras S. Watson ssp. cryptoceras","pallid milkweed"
"ASCRD2","Asclepias cryptoceras S. Watson ssp. davisii (Woodson) Woodson","Davis' milkweed"
"ASCU4","Astragalus curvicarpus (A. Heller) J.F. Macbr.","curvepod milkvetch"
"ASCUC","Astragalus curvicarpus (A. Heller) J.F. Macbr. var. curvicarpus","curvepod milkvetch"
"ASDE6","Aspidotis densa (Brack.) Lellinger","pod fern"
"ASDE6","Aspidotis densa (Brack.) Lellinger","podfern"
"ASDI3","Astragalus didymocarpus Hook. & Arn.","dwarf white milkvetch"
"ASDI5","Astragalus diversifolius A. Gray","locoweed"
"ASDID","Astragalus didymocarpus Hook. & Arn. var. dispermus (A. Gray) Jeps.","dwarf white milkvetch"
"ASDID2","Astragalus didymocarpus Hook. & Arn. var. didymocarpus","dwarf white milkvetch"
"ASDR3","Astragalus drummondii Douglas ex Hook.","Drummond's milkvetch"
"ASEN4","Astragalus ensiformis M.E. Jones","pagumpa milkvetch"
"ASENG","Astragalus ensiformis M.E. Jones var. gracilior Barneby","pagumpa milkvetch"
"ASER","Asclepias eriocarpa Benth.","woolypod milkweed"
"ASER2","Asclepias erosa Torr.","desert milkweed"
"ASER4","Astragalus eremiticus Sheldon","hermit milkvetch"
"ASEU3","Astragalus eurylobus (Barneby) Barneby","Needle Mountain milkvetch"
"ASFA","Asclepias fascicularis Decne.","narrowleaf milkweed"
"ASFI","Astragalus filipes Torr. ex A. Gray","threadstalk milkvetch"
"ASFL","Astragalus flavus Nutt.","yellow milkvetch"
"ASFL2","Astragalus flexuosus Douglas ex G. Don","flexile milkvetch"
"ASFLF","Astragalus flexuosus Douglas ex G. Don var. flexuosus","flexile milkvetch"
"ASFU3","Astragalus funereus M.E. Jones","black woolypod"
"ASGE","Astragalus geyeri A. Gray","Geyer's milkvetch"
"ASGEG","Astragalus geyeri A. Gray var. geyeri","Geyer's milkvetch"
"ASGET","Astragalus geyeri A. Gray var. triquetrus (A. Gray) M.E. Jones","threecorner milkvetch"
"ASGI","Astragalus gibbsii Kellogg","Gibb's milkvetch"
"ASGI4","Astragalus gilmanii Tidestr.","Gilman's milkvetch"
"ASHA6","Asclepias hallii A. Gray","Hall milkweed"
"ASHO2","Astragalus hornii A. Gray","Horn's milkvetch"
"ASHU2","Astragalus humistratus A. Gray","groundcover milkvetch"
"ASHUH2","Astragalus humistratus A. Gray var. humivagans (Rydb.) Barneby","groundcover milkvetch"
"ASHUH3","Astragalus humistratus A. Gray var. humistratus","groundcover milkvetch"
"ASIN","Asclepias incarnata L.","SWAMP MILKWEED"
"ASIN19","Astrolepis integerrima (Hook.) Benham & Windham","hybrid lipfern"
"ASIN8","Astragalus inyoensis Sheldon","Inyo milkvetch"
"ASIN9","Astranthium integrifolium (Michx.) Nutt.","hybrid cloakfern"
"ASINI","Asclepias incarnata L. ssp. incarnata","SWAMP MILKWEED"
"ASIO","Astragalus iodanthus S. Watson","Humboldt River milkvetch"
"ASIOD","Astragalus iodanthus S. Watson var. diaphanoides Barneby","snake milkvetch"
"ASIOI","Astragalus iodanthus S. Watson var. iodanthus","Humboldt River milkvetch"
"ASJE2","Astragalus jejunus S. Watson","starveling milkvetch"
"ASJEJ","Astragalus jejunus S. Watson var. jejunus","starveling milkvetch"
"ASJO","Astragalus johannis-howellii Barneby","Long Valley milkvetch"
"ASKE","Astragalus kentrophyta A. Gray","spiny milkvetch"
"ASKED","Astragalus kentrophyta A. Gray var. danaus (Barneby) Barneby","spiny milkvetch"
"ASKEE","Astragalus kentrophyta A. Gray var. elatus S. Watson","tall spiny milkvetch"
"ASKEJ","Astragalus kentrophyta A. Gray var. jessiae (M. Peck) Barneby","spiny milkvetch"
"ASKET","Astragalus kentrophyta A. Gray var. tegetarius (S. Watson) Dorn","mat milkvetch"
"ASKEU","Astragalus kentrophyta A. Gray var. ungulatus M.E. Jones","spiny milkvetch"
"ASLA","Asclepias labriformis M.E. Jones","Utah milkweed"
"ASLA8","Astragalus layneae Greene","widow's milkvetch"
"ASLE6","Astragalus lemmonii A. Gray","Lemmon's milkvetch"
"ASLE8","Astragalus lentiginosus Douglas ex Hook.","specklepod milkvetch"
"ASLEA","Astragalus lentiginosus Douglas ex Hook. var. albifolius M.E. Jones","northern speckledpod milkvetch"
"ASLEA2","Astragalus lentiginosus Douglas ex Hook. var. ambiguus Barneby","speckledpod milkvetch"
"ASLEB","Astragalus lentiginosus Douglas ex Hook. var. borreganus M.E. Jones","northern milkvetch"
"ASLEC","Astragalus lentiginosus Douglas ex Hook. var. chartaceus M.E. Jones","San Pitch Valley milkvetch"
"ASLED","Astragalus lentiginosus Douglas ex Hook. var. diphysus (A. Gray) M.E. Jones","speckledpod milkvetch"
"ASLEF","Astragalus lentiginosus Douglas ex Hook. var. floribundus A. Gray","speckledpod milkvetch"
"ASLEF2","Astragalus lentiginosus Douglas ex Hook. var. fremontii (A. Gray ex Torr.) S. Watson","Fremont's milkvetch"
